trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
92cb5e85-887f-4eb5-ac25-33433d4be133,13:55:00,13:55:00,5289 9,13,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:56:00,13:56:00,5288 9,14,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:57:00,13:57:00,5287 9,15,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:58:00,13:58:00,5286 9,16,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:01:00,14:01:00,5285 9,17,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:02:00,14:02:00,5284 9,18,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:03:00,14:03:00,5283 9,19,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:03:00,14:03:00,5282 9,20,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:03:00,14:03:00,5281 9,21,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:04:00,14:04:00,5023 1,22,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:05:00,14:05:00,5025 1,23,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:06:00,14:06:00,5027 1,24,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:07:00,14:07:00,5028 1,25,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:08:00,14:08:00,5029 1,26,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:09:00,14:09:00,5030 1,27,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:10:00,14:10:00,5031 1,28,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:11:00,14:11:00,5032 1,29,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:12:00,14:12:00,5033 1,30,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:14:00,14:14:00,5035 1,31,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,14:15:00,14:15:00,5120 9,32,臼津交通本社前,1,0,,
f690a57d-abea-4e07-9491-3aa70a69dce6,13:57:00,13:57:00,5198 2,1,臼杵市役所,0,1,,
f690a57d-abea-4e07-9491-3aa70a69dce6,13:58:00,13:58:00,5197 9,2,臼杵市役所,0,0,,
f690a57d-abea-4e07-9491-3aa70a69dce6,13:59:00,13:59:00,5196 9,3,臼杵市役所,0,0,,
f690a57d-abea-4e07-9491-3aa70a69dce6,14:00:00,14:00:00,5195 9,4,臼杵市役所,0,0,,
f690a57d-abea-4e07-9491-3aa70a69dce6,14:01:00,14:01:00,5194 9,5,臼杵市役所,0,0,,
f690a57d-abea-4e07-9491-3aa70a69dce6,14:02:00,14:02:00,5193 9,6,臼杵市役所,0,0,,
f690a57d-abea-4e07-9491-3aa70a69dce6,14:03:00,14:03:00,5199 9,7,臼杵市役所,0,0,,
f690a57d-abea-4e07-9491-3aa70a69dce6,14:05:00,14:05:00,5192 9,8,臼杵市役所,0,0,,
